,0
0,0.4918
1,0.4775
2,0.4742
3,0.505
4,0.5083
5,0.5005
6,0.467
7,0.5073
8,0.4766
9,0.499
10,0.4939
11,0.4861
12,0.4729
13,0.4337
14,0.4944
15,0.4708
16,0.4795
17,0.4713
18,0.4973
19,0.5099
20,0.4683
21,0.4788
22,0.4976
23,0.4715
24,0.4841
25,0.4875
26,0.4506
27,0.445
28,0.5251
29,0.4287
30,0.4922
31,0.4911
32,0.4381
33,0.4664
34,0.4621
35,0.4825
36,0.4516
37,0.4948
38,0.467
39,0.4797
40,0.4797
41,0.5036
42,0.4724
43,0.4975
44,0.4878
45,0.4923
46,0.5001
47,0.4983
48,0.4735
49,0.4681
50,0.5045
51,0.4666
52,0.4737
53,0.466
54,0.4616
55,0.4451
56,0.4748
57,0.496
58,0.4787
59,0.4955
60,0.497
61,0.5264
62,0.5017
63,0.4767
64,0.4985
65,0.4314
66,0.4808
67,0.4885
68,0.4361
69,0.4421
70,0.4866
71,0.4495
72,0.4881
73,0.5098
74,0.472
75,0.4909
76,0.4713
77,0.4917
78,0.4731
79,0.493
80,0.4522
81,0.4895
82,0.4708
83,0.4884
84,0.5012
85,0.458
86,0.4805
87,0.4734
88,0.4884
89,0.5085
