,0
0,0.4502
1,0.5307
2,0.5486
3,0.46
4,0.456
5,0.4951
6,0.4608
7,0.4725
8,0.4793
9,0.465
10,0.4657
11,0.4613
12,0.4465
13,0.4981
14,0.4654
15,0.5234
16,0.4848
17,0.4537
18,0.4665
19,0.4975
20,0.4699
21,0.4528
22,0.4627
23,0.5099
24,0.5211
25,0.4852
26,0.5089
27,0.4892
28,0.4477
29,0.4454
30,0.4871
31,0.4917
32,0.4881
33,0.4712
34,0.4681
35,0.4785
36,0.5044
37,0.4405
38,0.4723
39,0.4686
40,0.4849
41,0.4483
42,0.4666
43,0.454
44,0.4531
45,0.5009
46,0.4713
47,0.4935
48,0.4511
49,0.4328
50,0.4785
51,0.4986
52,0.4827
53,0.4996
54,0.4722
55,0.4702
56,0.4877
57,0.4607
58,0.4832
59,0.5175
60,0.49
61,0.4678
62,0.446
63,0.4786
64,0.4805
65,0.5143
66,0.4708
67,0.4846
68,0.5104
69,0.4657
70,0.4748
71,0.4893
72,0.5108
73,0.4909
74,0.4837
75,0.4685
76,0.4688
77,0.4809
78,0.4822
79,0.4669
80,0.4904
81,0.4913
82,0.5239
83,0.4612
84,0.4479
85,0.4962
86,0.4553
87,0.4613
88,0.5213
89,0.3765
