,0
0,0.4663
1,0.4337
2,0.4706
3,0.4557
4,0.4559
5,0.4938
6,0.4995
7,0.4672
8,0.4785
9,0.4325
10,0.4544
11,0.4565
12,0.4714
13,0.4496
14,0.4785
15,0.4848
16,0.4693
17,0.482
18,0.4995
19,0.49
20,0.4662
21,0.516
22,0.4984
23,0.4271
24,0.4647
25,0.4599
26,0.4746
27,0.4935
28,0.4791
29,0.4988
30,0.4669
31,0.4541
32,0.4881
33,0.4932
34,0.482
35,0.4571
36,0.4688
37,0.4717
38,0.4898
39,0.4631
40,0.4878
41,0.4975
42,0.4746
43,0.4706
44,0.5146
45,0.5011
46,0.4263
47,0.4847
48,0.4995
49,0.458
50,0.4509
51,0.4917
52,0.4826
53,0.4639
54,0.4691
55,0.4818
56,0.4985
57,0.4692
58,0.4905
59,0.4848
60,0.4921
61,0.4857
62,0.4783
63,0.4948
64,0.4697
65,0.4583
66,0.4525
67,0.5057
68,0.4594
69,0.4923
70,0.4792
71,0.5535
72,0.4716
73,0.4769
74,0.4593
75,0.4596
76,0.49
77,0.4633
78,0.4719
79,0.4782
80,0.4453
81,0.4864
82,0.4953
83,0.4791
84,0.4693
85,0.5262
86,0.4941
87,0.4603
88,0.465
89,0.4574
