,0
0,0.4528
1,0.4632
2,0.4526
3,0.4493
4,0.4707
5,0.471
6,0.4312
7,0.4518
8,0.4812
9,0.4535
10,0.4347
11,0.4757
12,0.4565
13,0.4952
14,0.5107
15,0.4744
16,0.5108
17,0.4749
18,0.5042
19,0.4568
20,0.4725
21,0.4782
22,0.5047
23,0.4274
24,0.4895
25,0.4699
26,0.4906
27,0.4572
28,0.4669
29,0.4637
30,0.4715
31,0.4779
32,0.4845
33,0.4632
34,0.4821
35,0.4793
36,0.484
37,0.44
38,0.4826
39,0.4579
40,0.4803
41,0.491
42,0.4713
43,0.4364
44,0.4489
45,0.4674
46,0.4805
47,0.4358
48,0.5159
49,0.464
50,0.4702
51,0.4931
52,0.4429
53,0.4675
54,0.4489
55,0.4425
56,0.4826
57,0.4555
58,0.4833
59,0.4525
60,0.4827
61,0.4678
62,0.504
63,0.4356
64,0.4723
65,0.4717
66,0.4883
67,0.4943
68,0.4591
69,0.4934
70,0.482
71,0.4793
72,0.4666
73,0.4632
74,0.4419
75,0.4672
76,0.5005
77,0.5022
78,0.4799
79,0.478
80,0.4441
81,0.4437
82,0.5022
83,0.5882
84,0.484
85,0.4792
86,0.4854
87,0.4531
88,0.4466
89,0.4999
