domain,metric,model,score,modelName,modelSize
news,IoU,bloom_bg,0.72882347999608,bloom,bg
news,CORR,bloom_bg,0.73321824046988,bloom,bg
news,SAM,bloom_bg,0.23372587172124,bloom,bg
news,SPEAR,bloom_bg,0.019201816756784,bloom,bg
news,IoU,bloom_sm,0.702284453793317,bloom,sm
news,CORR,bloom_sm,0.614780293794798,bloom,sm
news,SAM,bloom_sm,0.281008065930132,bloom,sm
news,SPEAR,bloom_sm,0.0476536626223209,bloom,sm
news,IoU,gpt2_bg,0.7372312801542,gpt2,bg
news,CORR,gpt2_bg,0.7227705622932,gpt2,bg
news,SAM,gpt2_bg,0.2401385525386,gpt2,bg
news,SPEAR,gpt2_bg,0.0186472265826,gpt2,bg
news,IoU,gpt2_sm,0.7400776401052,gpt2,sm
news,CORR,gpt2_sm,0.7569786970784,gpt2,sm
news,SAM,gpt2_sm,0.223528229186,gpt2,sm
news,SPEAR,gpt2_sm,0.0208675426068,gpt2,sm
news,IoU,opt_bg,0.44000947999484,opt,bg
news,CORR,opt_bg,0.7321746396984,opt,bg
news,SAM,opt_bg,0.235549477265,opt,bg
news,SPEAR,opt_bg,0.0205306858576,opt,bg
news,IoU,opt_sm,0.43809635998868,opt,sm
news,CORR,opt_sm,0.7458160947788,opt,sm
news,SAM,opt_sm,0.2293504268392,opt,sm
news,SPEAR,opt_sm,0.0166695754816,opt,sm
story,IoU,bloom_bg,0.73277438416224,bloom,bg
story,CORR,bloom_bg,0.77171725406504,bloom,bg
story,SAM,bloom_bg,0.21368651448528,bloom,bg
story,SPEAR,bloom_bg,0.027160785129974,bloom,bg
story,IoU,bloom_sm,0.715069460632505,bloom,sm
story,CORR,bloom_sm,0.573170751677883,bloom,sm
story,SAM,bloom_sm,0.300199957648647,bloom,sm
story,SPEAR,bloom_sm,0.049628488104608,bloom,sm
story,IoU,gpt2_bg,0.7411394599056,gpt2,bg
story,CORR,gpt2_bg,0.7869853545012,gpt2,bg
story,SAM,gpt2_bg,0.2086465891206,gpt2,bg
story,SPEAR,gpt2_bg,0.0222777875478,gpt2,bg
story,IoU,gpt2_sm,0.7455042201152,gpt2,sm
story,CORR,gpt2_sm,0.8127948877894,gpt2,sm
story,SAM,gpt2_sm,0.195028375292,gpt2,sm
story,SPEAR,gpt2_sm,0.0234574258226,gpt2,sm
story,IoU,opt_bg,0.40467663998318,opt,bg
story,CORR,opt_bg,0.7049764088644,opt,bg
story,SAM,opt_bg,0.2448313973852,opt,bg
story,SPEAR,opt_bg,0.040810892443,opt,bg
story,IoU,opt_sm,0.40555067999028,opt,sm
story,CORR,opt_sm,0.7374041131874,opt,sm
story,SAM,opt_sm,0.230712791104,opt,sm
story,SPEAR,opt_sm,0.0355081629774,opt,sm
wiki,IoU,bloom_bg,0.73414018001096,bloom,bg
wiki,CORR,bloom_bg,0.7887264375174,bloom,bg
wiki,SAM,bloom_bg,0.2078135833697,bloom,bg
wiki,SPEAR,bloom_bg,0.022880791472432,bloom,bg
wiki,IoU,bloom_sm,0.70447163757737,bloom,sm
wiki,CORR,bloom_sm,0.674675085048567,bloom,sm
wiki,SAM,bloom_sm,0.257560687427901,bloom,sm
wiki,SPEAR,bloom_sm,0.0588878674003548,bloom,sm
wiki,IoU,gpt2_bg,0.7419497800336,gpt2,bg
wiki,CORR,gpt2_bg,0.7804999057608,gpt2,bg
wiki,SAM,gpt2_bg,0.2126917250552,gpt2,bg
wiki,SPEAR,gpt2_bg,0.0230738735816,gpt2,bg
wiki,IoU,gpt2_sm,0.7455734200356,gpt2,sm
wiki,CORR,gpt2_sm,0.8059055628086,gpt2,sm
wiki,SAM,gpt2_sm,0.1993086689246,gpt2,sm
wiki,SPEAR,gpt2_sm,0.0218374212268,gpt2,sm
wiki,IoU,opt_bg,0.43606794002224,opt,bg
wiki,CORR,opt_bg,0.7685643279422,opt,bg
wiki,SAM,opt_bg,0.2173665172302,opt,bg
wiki,SPEAR,opt_bg,0.029026139286,opt,bg
wiki,IoU,opt_sm,0.42447739999746,opt,sm
wiki,CORR,opt_sm,0.7707330116574,opt,sm
wiki,SAM,opt_sm,0.2163655714316,opt,sm
wiki,SPEAR,opt_sm,0.0259549129774,opt,sm
