domain,metric,model,score,modelName,modelSize
news,MAUVE,bloom_bg,0.095011502330194,bloom,bg
news,REP2,bloom_bg,8.918536,bloom,bg
news,REP3,bloom_bg,3.028122,bloom,bg
news,REP4,bloom_bg,1.68454,bloom,bg
news,Diversity,bloom_bg,0.86961296260082,bloom,bg
news,Coherence,bloom_bg,0.78521119994442,bloom,bg
news,BLEU,bloom_bg,0.46240750868958,bloom,bg
news,Self-BLEU,bloom_bg,0.50077335035822,bloom,bg
news,Perplexity,bloom_bg,20.349278125,bloom,bg
news,Zipf,bloom_bg,0.9662474109004,bloom,bg
news,SO,bloom_bg,0.72882347999608,bloom,bg
news,CORR,bloom_bg,0.73321824046988,bloom,bg
news,SAM,bloom_bg,0.23372587172124,bloom,bg
news,SPEAR,bloom_bg,0.019201816756784,bloom,bg
news,MAUVE,bloom_sm,0.0135744102988235,bloom,sm
news,REP2,bloom_sm,12.9191396558623,bloom,sm
news,REP3,bloom_sm,8.824293717487,bloom,sm
news,REP4,bloom_sm,6.78761104441777,bloom,sm
news,Diversity,bloom_sm,0.740162117886955,bloom,sm
news,Coherence,bloom_sm,0.8972627830994,bloom,sm
news,BLEU,bloom_sm,0.38876721332605,bloom,sm
news,Self-BLEU,bloom_sm,0.384154717071829,bloom,sm
news,Perplexity,bloom_sm,25.2218324829932,bloom,sm
news,Zipf,bloom_sm,0.963660986165386,bloom,sm
news,SO,bloom_sm,0.702284453793317,bloom,sm
news,CORR,bloom_sm,0.614780293794798,bloom,sm
news,SAM,bloom_sm,0.281008065930132,bloom,sm
news,SPEAR,bloom_sm,0.0476536626223209,bloom,sm
news,MAUVE,gpt2_bg,0.2812632447492,gpt2,bg
news,REP2,gpt2_bg,7.555316,gpt2,bg
news,REP3,gpt2_bg,2.03027,gpt2,bg
news,REP4,gpt2_bg,0.993344,gpt2,bg
news,Diversity,gpt2_bg,0.897127535222,gpt2,bg
news,Coherence,gpt2_bg,0.639669171126,gpt2,bg
news,BLEU,gpt2_bg,0.4595077233506,gpt2,bg
news,Self-BLEU,gpt2_bg,0.57301524571,gpt2,bg
news,Perplexity,gpt2_bg,17.4712375,gpt2,bg
news,Zipf,gpt2_bg,0.9582038826784,gpt2,bg
news,SO,gpt2_bg,0.7372312801542,gpt2,bg
news,CORR,gpt2_bg,0.7227705622932,gpt2,bg
news,SAM,gpt2_bg,0.2401385525386,gpt2,bg
news,SPEAR,gpt2_bg,0.0186472265826,gpt2,bg
news,MAUVE,gpt2_sm,0.3932215252948,gpt2,sm
news,REP2,gpt2_sm,7.908748,gpt2,sm
news,REP3,gpt2_sm,2.259612,gpt2,sm
news,REP4,gpt2_sm,1.194228,gpt2,sm
news,Diversity,gpt2_sm,0.8900933324124,gpt2,sm
news,Coherence,gpt2_sm,0.6131330993736,gpt2,sm
news,BLEU,gpt2_sm,0.4749083609224,gpt2,sm
news,Self-BLEU,gpt2_sm,0.6194741081924,gpt2,sm
news,Perplexity,gpt2_sm,14.654125,gpt2,sm
news,Zipf,gpt2_sm,0.9610898199608,gpt2,sm
news,SO,gpt2_sm,0.7400776401052,gpt2,sm
news,CORR,gpt2_sm,0.7569786970784,gpt2,sm
news,SAM,gpt2_sm,0.223528229186,gpt2,sm
news,SPEAR,gpt2_sm,0.0208675426068,gpt2,sm
news,MAUVE,opt_bg,0.129842065937724,opt,bg
news,REP2,opt_bg,8.104772,opt,bg
news,REP3,opt_bg,2.939808,opt,bg
news,REP4,opt_bg,1.850326,opt,bg
news,Diversity,opt_bg,0.87598711831352,opt,bg
news,Coherence,opt_bg,0.66321371459972,opt,bg
news,BLEU,opt_bg,0.4664639157038,opt,bg
news,Self-BLEU,opt_bg,0.54342897371446,opt,bg
news,Perplexity,opt_bg,20.3773125,opt,bg
news,Zipf,opt_bg,0.96796663414058,opt,bg
news,SO,opt_bg,0.44000947999484,opt,bg
news,CORR,opt_bg,0.7321746396984,opt,bg
news,SAM,opt_bg,0.235549477265,opt,bg
news,SPEAR,opt_bg,0.0205306858576,opt,bg
news,MAUVE,opt_sm,0.161871086468688,opt,sm
news,REP2,opt_sm,9.72914,opt,sm
news,REP3,opt_sm,3.508908,opt,sm
news,REP4,opt_sm,2.123136,opt,sm
news,Diversity,opt_sm,0.85323163646088,opt,sm
news,Coherence,opt_sm,0.6632576782126,opt,sm
news,BLEU,opt_sm,0.48144602337924,opt,sm
news,Self-BLEU,opt_sm,0.61123733304716,opt,sm
news,Perplexity,opt_sm,18.80375,opt,sm
news,Zipf,opt_sm,0.9654627890032,opt,sm
news,SO,opt_sm,0.43809635998868,opt,sm
news,CORR,opt_sm,0.7458160947788,opt,sm
news,SAM,opt_sm,0.2293504268392,opt,sm
news,SPEAR,opt_sm,0.0166695754816,opt,sm
story,MAUVE,bloom_bg,0.008453352044751,bloom,bg
story,REP2,bloom_bg,11.677616,bloom,bg
story,REP3,bloom_bg,4.162754,bloom,bg
story,REP4,bloom_bg,2.235424,bloom,bg
story,Diversity,bloom_bg,0.83037916600486,bloom,bg
story,Coherence,bloom_bg,0.6601803344718,bloom,bg
story,BLEU,bloom_bg,0.39676406254012,bloom,bg
story,Self-BLEU,bloom_bg,0.45522567402394,bloom,bg
story,Perplexity,bloom_bg,25.4871875,bloom,bg
story,Zipf,bloom_bg,1.0582528368062,bloom,bg
story,SO,bloom_bg,0.73277438416224,bloom,bg
story,CORR,bloom_bg,0.77171725406504,bloom,bg
story,SAM,bloom_bg,0.21368651448528,bloom,bg
story,SPEAR,bloom_bg,0.027160785129974,bloom,bg
story,MAUVE,bloom_sm,0.006427834385921,bloom,sm
story,REP2,bloom_sm,22.8899779426509,bloom,sm
story,REP3,bloom_sm,18.6276378584319,bloom,sm
story,REP4,bloom_sm,16.1171525967516,bloom,sm
story,Diversity,bloom_sm,0.526880047828715,bloom,sm
story,Coherence,bloom_sm,0.880035421051654,bloom,sm
story,BLEU,bloom_sm,0.116001751814016,bloom,sm
story,Self-BLEU,bloom_sm,0.180424534859274,bloom,sm
story,Perplexity,bloom_sm,26.7234152546621,bloom,sm
story,Zipf,bloom_sm,0.998794262092039,bloom,sm
story,SO,bloom_sm,0.715069460632505,bloom,sm
story,CORR,bloom_sm,0.573170751677883,bloom,sm
story,SAM,bloom_sm,0.300199957648647,bloom,sm
story,SPEAR,bloom_sm,0.049628488104608,bloom,sm
story,MAUVE,gpt2_bg,0.1208421295208,gpt2,bg
story,REP2,gpt2_bg,13.488188,gpt2,bg
story,REP3,gpt2_bg,5.779638,gpt2,bg
story,REP4,gpt2_bg,3.848246,gpt2,bg
story,Diversity,gpt2_bg,0.7848887101678,gpt2,bg
story,Coherence,gpt2_bg,0.4204099091922,gpt2,bg
story,BLEU,gpt2_bg,0.4170850516942,gpt2,bg
story,Self-BLEU,gpt2_bg,0.565129128145,gpt2,bg
story,Perplexity,gpt2_bg,24.35049375,gpt2,bg
story,Zipf,gpt2_bg,1.0854209154266,gpt2,bg
story,SO,gpt2_bg,0.7411394599056,gpt2,bg
story,CORR,gpt2_bg,0.7869853545012,gpt2,bg
story,SAM,gpt2_bg,0.2086465891206,gpt2,bg
story,SPEAR,gpt2_bg,0.0222777875478,gpt2,bg
story,MAUVE,gpt2_sm,0.5042450357836,gpt2,sm
story,REP2,gpt2_sm,15.761574,gpt2,sm
story,REP3,gpt2_sm,7.26941,gpt2,sm
story,REP4,gpt2_sm,5.10143,gpt2,sm
story,Diversity,gpt2_sm,0.7427444734848,gpt2,sm
story,Coherence,gpt2_sm,0.420504193374,gpt2,sm
story,BLEU,gpt2_sm,0.438796427176,gpt2,sm
story,Self-BLEU,gpt2_sm,0.617286930952,gpt2,sm
story,Perplexity,gpt2_sm,16.704359375,gpt2,sm
story,Zipf,gpt2_sm,1.0973834126256,gpt2,sm
story,SO,gpt2_sm,0.7455042201152,gpt2,sm
story,CORR,gpt2_sm,0.8127948877894,gpt2,sm
story,SAM,gpt2_sm,0.195028375292,gpt2,sm
story,SPEAR,gpt2_sm,0.0234574258226,gpt2,sm
story,MAUVE,opt_bg,0.0129840535145996,opt,bg
story,REP2,opt_bg,7.201334,opt,bg
story,REP3,opt_bg,3.455212,opt,bg
story,REP4,opt_bg,2.503338,opt,bg
story,Diversity,opt_bg,0.87546753199948,opt,bg
story,Coherence,opt_bg,0.38795675199858,opt,bg
story,BLEU,opt_bg,0.28833275235436,opt,bg
story,Self-BLEU,opt_bg,0.5106872007597,opt,bg
story,Perplexity,opt_bg,36.68685,opt,bg
story,Zipf,opt_bg,1.00316484070328,opt,bg
story,SO,opt_bg,0.40467663998318,opt,bg
story,CORR,opt_bg,0.7049764088644,opt,bg
story,SAM,opt_bg,0.2448313973852,opt,bg
story,SPEAR,opt_bg,0.040810892443,opt,bg
story,MAUVE,opt_sm,0.0245032278384672,opt,sm
story,REP2,opt_sm,12.844308,opt,sm
story,REP3,opt_sm,7.523128,opt,sm
story,REP4,opt_sm,5.890044,opt,sm
story,Diversity,opt_sm,0.76921484626994,opt,sm
story,Coherence,opt_sm,0.43961559600968,opt,sm
story,BLEU,opt_sm,0.34784038488998,opt,sm
story,Self-BLEU,opt_sm,0.58684777418408,opt,sm
story,Perplexity,opt_sm,25.8082203125,opt,sm
story,Zipf,opt_sm,1.0212674176245,opt,sm
story,SO,opt_sm,0.40555067999028,opt,sm
story,CORR,opt_sm,0.7374041131874,opt,sm
story,SAM,opt_sm,0.230712791104,opt,sm
story,SPEAR,opt_sm,0.0355081629774,opt,sm
wiki,MAUVE,bloom_bg,0.184360223000216,bloom,bg
wiki,REP2,bloom_bg,17.258184,bloom,bg
wiki,REP3,bloom_bg,7.660966,bloom,bg
wiki,REP4,bloom_bg,4.80712,bloom,bg
wiki,Diversity,bloom_bg,0.73174761761992,bloom,bg
wiki,Coherence,bloom_bg,0.81885540161714,bloom,bg
wiki,BLEU,bloom_bg,0.38787813246916,bloom,bg
